Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    358.158,   142.93,        354,    25.19,    368.211,   -95.38,          0,     0.00,  0.0012911,    -1.95,    358.158,   -37.07,        354,  -154.81,    368.211,    84.62,          0,     0.00,  0.0012911,   178.05
Line.LINE1,    358.158,   -37.07,        354,  -154.81,    368.211,    84.62,          0,     0.00, 0.00129109,   178.05,    358.172,   142.93,    354.011,    25.19,     368.22,   -95.39,          0,     0.00, 1.9223E-007,  -119.85
Transformer.T1,    358.172,   -37.07,    354.011,  -154.81,     368.22,    84.61,          0,     0.00, 1.92241E-007,    60.15,    1126.08,   113.85,    1032.44,    -5.06,    1079.76,  -126.01,    89.9031,   -46.64, 2.7343E-006,   123.90
Line.LINE2,    1126.08,   -66.15,    1032.44,   174.94,    1079.76,    53.99,          0,     0.00,    89.9031,   -46.64,    1126.08,   113.85,    1032.44,    -5.06,    1079.76,  -126.01,          0,     0.00,    89.9035,   133.36
Line.LINE3,    60.6631,   -74.45,    50.3923,   166.44,    55.7647,    45.23,          0,     0.00,    9.61308,   -47.06,    60.6649,   105.55,    50.3937,   -13.56,    55.7659,  -134.77,          0,     0.00,    9.61319,   132.94
Line.LINE4,    119.916,   -66.11,    109.874,   175.03,    114.957,    54.08,          0,     0.00,    9.61319,   -47.06,    119.918,   113.89,    109.875,    -4.97,    114.958,  -125.92,          0,     0.00,    9.61329,   132.94
Transformer.T2,    524.304,   -87.74,     524.74,   152.21,    524.137,    32.19, 9.79556E-012,  -111.80, 3.63798E-012,   180.00,    60.5366,   122.25,    60.5173,     2.18,     60.467,  -117.77,          0,     0.00, 1.28982E-006,    96.54
Load.LOAD1,    1066.15,   -65.68,    982.556,   175.37,    1024.72,    54.47,     80.388,   133.52,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
Load.LOAD2,    119.925,   -66.11,    109.866,   175.03,    114.963,    54.08,    9.62479,   133.04,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
PVSystem.PV1,    524.323,    92.26,    524.747,   -27.79,    524.123,  -147.80,          0,     0.00, 5.68434E-014,   -90.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00,          0,     0.00
