Tool,Open DSS,,Grid Lab D,,Simscape,
,Magnitude,Angle,Magnitude,Angle,Magnitude,Angle
Node-2,,,,,,
V1,12321,29.7,,,,
V2,12329,-90.5,,,,
V3,12292,149.6,,,,
Node-3,,,,,,
V1,2220.08,-34.3,,,,
V2,2241.12,-153.8,,,,
V3,2234.38,85.9,,,,
Node-4,,,,,,
V1,1832.94,-40.7,,,,
V2,2011.22,-159.5,,,,
V3,1917.87,79.5,,,,
Node-5,,,,,,
V1,1817.69,-41.1,,,,
V2,2002.42,-159.7,,,,
V3,1905.52,79.2,,,,
Node-6,,,,,,
V1,1802.5,-41.4,,,,
V2,1993.67,-160,,,,
V3,1893.21,78.9,,,,
Current 1-2,,,,,,
Ia,384.683,-37.59,,,,
Ib,379.885,-155.1,,,,
Ic,396.607,84.25,,,,
Current 3-4,,,,,,
Ia,1214.25,-66.64,,,,
Ib,1106.05,174.62,,,,
Ic,1160.1,53.63,,,,
Current 4-5,,,,,,
Ia,123.265,-67.22,,,,
Ib,111.48,174.16,,,,
Ic,117.367,53.1,,,,
Current 5-6,,,,,,
Ia,123.266,-67.22,,,,
Ib,111.481,174.16,,,,
Ic,117.368,53.1,,,,
